input_tokens,output_tokens_actual,output_tokens_target,actual_e2e,actual_ttft_prefill_proxy,actual_decode,predicted_prefill,predicted_decode,predicted_e2e,ape,model_mode
16384.0,1024.0,1024.0,10.6071617603302,0.7581467628479004,9.8490149974823,0.775554719431426,9.426184534620418,10.201739254051844,0.038221582308153194,parametric
16384.0,1024.0,1024.0,10.812790870666504,0.8515570163726807,9.961233854293823,0.775554719431426,9.426184534620418,10.201739254051844,0.05651192406507666,parametric
24576.0,32.0,32.0,1.4909236431121826,1.2148869037628174,0.27603673934936523,1.2422369540100104,0.29994562475473,1.5421825787647405,0.03438065784882116,parametric
24576.0,32.0,32.0,1.5059843063354492,1.229548454284668,0.27643585205078125,1.2422369540100104,0.29994562475473,1.5421825787647405,0.024036287946036766,parametric
24576.0,32.0,32.0,1.5149273872375488,1.2386744022369385,0.27625298500061035,1.2422369540100104,0.29994562475473,1.5421825787647405,0.017991087729221922,parametric
24576.0,128.0,128.0,2.4565930366516113,1.250990629196167,1.2056024074554443,1.2422369540100104,1.19978249901892,2.4420194530289305,0.005932437080642752,parametric
24576.0,128.0,128.0,2.4409854412078857,1.2346608638763428,1.206324577331543,1.2422369540100104,1.19978249901892,2.4420194530289305,0.0004236042557194129,parametric
24576.0,128.0,128.0,2.445481061935425,1.239262580871582,1.2062184810638428,1.2422369540100104,1.19978249901892,2.4420194530289305,0.001415512456986543,parametric
24576.0,512.0,512.0,6.163065195083618,1.2340960502624512,4.928969144821167,1.2422369540100104,4.79912999607568,6.041366950085691,0.019746382870492414,parametric
24576.0,512.0,512.0,6.1823484897613525,1.2550597190856934,4.927288770675659,1.2422369540100104,4.79912999607568,6.041366950085691,0.022803881067064144,parametric
24576.0,512.0,512.0,6.189199924468994,1.2632153034210205,4.925984621047974,1.2422369540100104,4.79912999607568,6.041366950085691,0.023885635653623925,parametric
24576.0,1024.0,1024.0,11.176104068756104,1.248727798461914,9.92737627029419,1.2422369540100104,9.59825999215136,10.840496946161371,0.030028990471997734,parametric
24576.0,1024.0,1024.0,11.51977014541626,1.2744922637939453,10.245277881622314,1.2422369540100104,9.59825999215136,10.840496946161371,0.05896586396085104,parametric
24576.0,1024.0,1024.0,11.327019453048706,1.249039649963379,10.077979803085327,1.2422369540100104,9.59825999215136,10.840496946161371,0.04295238556833108,parametric
31488.0,32.0,32.0,1.9570417404174805,1.686096429824829,0.27094531059265137,1.6844313061721488,0.3044827706075967,1.9889140767797455,0.016285976790390774,parametric
31488.0,32.0,32.0,1.9354674816131592,1.6595368385314941,0.27593064308166504,1.6844313061721488,0.3044827706075967,1.9889140767797455,0.027614308002757073,parametric
31488.0,32.0,32.0,1.9369027614593506,1.6601955890655518,0.27670717239379883,1.6844313061721488,0.3044827706075967,1.9889140767797455,0.026852827284528855,parametric
31488.0,128.0,128.0,2.9028725624084473,1.683845043182373,1.2190275192260742,1.6844313061721488,1.2179310824303868,2.9023623886025356,0.00017574791691454543,parametric
31488.0,128.0,128.0,2.915257215499878,1.6865746974945068,1.228682518005371,1.6844313061721488,1.2179310824303868,2.9023623886025356,0.0044232209867393355,parametric
31488.0,128.0,128.0,2.8971474170684814,1.6672322750091553,1.2299151420593262,1.6844313061721488,1.2179310824303868,2.9023623886025356,0.0018000366509934064,parametric
31488.0,512.0,512.0,6.717840194702148,1.6766636371612549,5.0411765575408936,1.6844313061721488,4.871724329721547,6.556155635893696,0.02406793762911486,parametric
31488.0,512.0,512.0,6.725976467132568,1.6891286373138428,5.036847829818726,1.6844313061721488,4.871724329721547,6.556155635893696,0.025248502142213174,parametric
31488.0,512.0,512.0,6.729367733001709,1.692809820175171,5.036557912826538,1.6844313061721488,4.871724329721547,6.556155635893696,0.025739728304422664,parametric
