split_type,policy,target,train_rows,median_abs_error,p95_abs_error,model_method
leave_session_16,reactive_admission,ready_queue_wait,90,965.6967419114262,4501.681481418057,numpy_ridge
leave_session_16,reactive_admission,region_utilization,90,0.04531382297604991,0.117595018824368,numpy_ridge
leave_session_16,acd_nisp,p95_jct,90,3.870616076744355,11.15428746482347,numpy_ridge
leave_session_16,acd_nisp,mean_jct,90,2.9758904063424154,8.919837538664083,numpy_ridge
leave_session_16,acd_nisp,throughput,90,0.00920693271235934,0.033948535126529775,numpy_ridge
leave_session_16,acd_nisp,ready_queue_wait,90,965.6967419114262,4501.681481418057,numpy_ridge
leave_session_16,acd_nisp,region_utilization,90,0.04531382297604991,0.117595018824368,numpy_ridge
leave_session_16,taps_domain_v4,p95_jct,90,18.785098024167183,60.491793672083105,numpy_ridge
leave_session_16,taps_domain_v4,mean_jct,90,3.632203319166983,8.782872167517304,numpy_ridge
leave_session_16,taps_domain_v4,throughput,90,0.00918749265411442,0.0373439916054042,numpy_ridge
leave_session_16,taps_domain_v4,ready_queue_wait,90,872.8593277524135,3491.1271603504815,numpy_ridge
leave_session_16,taps_domain_v4,region_utilization,90,0.04937725028022033,0.10399565427987953,numpy_ridge
leave_session_16,taps_admission_v4,p95_jct,90,7.280753412466694,24.539398147595588,numpy_ridge
leave_session_16,taps_admission_v4,mean_jct,90,2.392482336294499,10.436625881609395,numpy_ridge
leave_session_16,taps_admission_v4,throughput,90,0.011322228633325299,0.04103413639948407,numpy_ridge
leave_session_16,taps_admission_v4,ready_queue_wait,90,813.0286978982796,3720.4565328212457,numpy_ridge
leave_session_16,taps_admission_v4,region_utilization,90,0.04261332472731805,0.11201453347111331,numpy_ridge
leave_session_16,taps_unified_v5,p95_jct,90,12.676833230562934,34.07448975536451,numpy_ridge
leave_session_16,taps_unified_v5,mean_jct,90,3.3090957792061744,12.386744027308351,numpy_ridge
leave_session_16,taps_unified_v5,throughput,90,0.02258438996412039,0.05280664966262654,numpy_ridge
leave_session_16,taps_unified_v5,ready_queue_wait,90,625.014620854351,2724.0292955791133,numpy_ridge
leave_session_16,taps_unified_v5,region_utilization,90,0.07014982773281975,0.1612330753956575,numpy_ridge
leave_session_16,taps_unified_adaptive_v6,p95_jct,90,9.544296506229102,31.054862219568857,numpy_ridge
leave_session_16,taps_unified_adaptive_v6,mean_jct,90,3.843458040028814,17.672044621847846,numpy_ridge
leave_session_16,taps_unified_adaptive_v6,throughput,90,0.02358182342208412,0.05256096697803931,numpy_ridge
leave_session_16,taps_unified_adaptive_v6,ready_queue_wait,90,629.0394552459462,2696.7177323036703,numpy_ridge
leave_session_16,taps_unified_adaptive_v6,region_utilization,90,0.07807158971852923,0.14853010008277112,numpy_ridge
leave_session_32,reactive_admission,p95_jct,97,3.103452499390599,8.46929042396747,numpy_ridge
leave_session_32,reactive_admission,mean_jct,97,2.860503745973645,6.241960521195636,numpy_ridge
leave_session_32,reactive_admission,throughput,97,0.012458610108512666,0.03550560928627602,numpy_ridge
leave_session_32,reactive_admission,ready_queue_wait,97,845.5937925273254,3509.6878768192896,numpy_ridge
leave_session_32,reactive_admission,region_utilization,97,0.043991644110352834,0.1281194333848818,numpy_ridge
leave_session_32,acd_nisp,p95_jct,97,3.103452499390599,8.46929042396747,numpy_ridge
leave_session_32,acd_nisp,mean_jct,97,2.860503745973645,6.241960521195636,numpy_ridge
leave_session_32,acd_nisp,throughput,97,0.012458610108512666,0.03550560928627602,numpy_ridge
leave_session_32,acd_nisp,ready_queue_wait,97,845.5937925273254,3509.6878768192896,numpy_ridge
leave_session_32,acd_nisp,region_utilization,97,0.043991644110352834,0.1281194333848818,numpy_ridge
leave_session_32,taps_domain_v4,p95_jct,97,14.163257168129121,62.89918891125271,numpy_ridge
leave_session_32,taps_domain_v4,mean_jct,97,2.85046038029153,8.53358954669783,numpy_ridge
leave_session_32,taps_domain_v4,throughput,97,0.012698107466642655,0.03774732532105955,numpy_ridge
leave_session_32,taps_domain_v4,ready_queue_wait,97,657.7448963442839,3068.474383671798,numpy_ridge
leave_session_32,taps_domain_v4,region_utilization,97,0.04918743260278258,0.14131463581860051,numpy_ridge
leave_session_32,taps_admission_v4,p95_jct,97,6.33394926072323,19.61011976298488,numpy_ridge
leave_session_32,taps_admission_v4,mean_jct,97,2.694575269881831,7.229944313847524,numpy_ridge
leave_session_32,taps_admission_v4,throughput,97,0.011333059332173906,0.036372522104337356,numpy_ridge
leave_session_32,taps_admission_v4,ready_queue_wait,97,783.5609649671646,3006.813084730416,numpy_ridge
leave_session_32,taps_admission_v4,region_utilization,97,0.03704263764273974,0.10253632215368386,numpy_ridge
leave_session_32,taps_unified_v5,p95_jct,97,8.999048479951043,34.0775942049126,numpy_ridge
leave_session_32,taps_unified_v5,mean_jct,97,3.1541751984087796,9.358062780150862,numpy_ridge
leave_session_32,taps_unified_v5,throughput,97,0.022378516810078727,0.05183088743523522,numpy_ridge
leave_session_32,taps_unified_v5,ready_queue_wait,97,601.7439995126081,2951.1647122124937,numpy_ridge
leave_session_32,taps_unified_v5,region_utilization,97,0.07390077255462965,0.1798262879026113,numpy_ridge
leave_session_32,taps_unified_adaptive_v6,p95_jct,97,7.999439416134209,29.906277267550543,numpy_ridge
leave_session_32,taps_unified_adaptive_v6,mean_jct,97,3.3961807801703543,10.792703842631468,numpy_ridge
leave_session_32,taps_unified_adaptive_v6,throughput,97,0.022096171522567556,0.05327151757131233,numpy_ridge
leave_session_32,taps_unified_adaptive_v6,ready_queue_wait,97,604.6003372038792,2970.479104620228,numpy_ridge
leave_session_32,taps_unified_adaptive_v6,region_utilization,97,0.08309611209103662,0.17402085223041036,numpy_ridge
leave_session_64,reactive_admission,p95_jct,87,4.0919427824590855,9.80220965447841,numpy_ridge
leave_session_64,reactive_admission,mean_jct,87,3.4329430019985665,8.202837862085897,numpy_ridge
leave_session_64,reactive_admission,throughput,87,0.00933718233035638,0.03711202026674746,numpy_ridge
leave_session_64,reactive_admission,ready_queue_wait,87,1101.0577024297324,3951.0275516793045,numpy_ridge
leave_session_64,reactive_admission,region_utilization,87,0.050536005156000374,0.12113586854274738,numpy_ridge
leave_session_64,acd_nisp,p95_jct,87,4.0919427824590855,9.80220965447841,numpy_ridge
leave_session_64,acd_nisp,mean_jct,87,3.4329430019985665,8.202837862085897,numpy_ridge
leave_session_64,acd_nisp,throughput,87,0.00933718233035638,0.03711202026674746,numpy_ridge
leave_session_64,acd_nisp,ready_queue_wait,87,1101.0577024297324,3951.0275516793045,numpy_ridge
leave_session_64,acd_nisp,region_utilization,87,0.050536005156000374,0.12113586854274738,numpy_ridge
leave_session_64,taps_domain_v4,p95_jct,87,11.06567093237308,62.71267195861715,numpy_ridge
leave_session_64,taps_domain_v4,mean_jct,87,3.1032756684680862,8.650552862341122,numpy_ridge
leave_session_64,taps_domain_v4,throughput,87,0.00902083337112726,0.03944237559392207,numpy_ridge
leave_session_64,taps_domain_v4,ready_queue_wait,87,781.3213286599936,3312.1531404649163,numpy_ridge
leave_session_64,taps_domain_v4,region_utilization,87,0.05436334624979672,0.1951870467858385,numpy_ridge
leave_session_64,taps_admission_v4,p95_jct,87,5.63299595509605,19.038981912929767,numpy_ridge
leave_session_64,taps_admission_v4,mean_jct,87,3.010882618924043,11.374467534162488,numpy_ridge
leave_session_64,taps_admission_v4,throughput,87,0.009165539106880949,0.04158875160528269,numpy_ridge
leave_session_64,taps_admission_v4,ready_queue_wait,87,993.0568681949728,3455.4763873542115,numpy_ridge
leave_session_64,taps_admission_v4,region_utilization,87,0.049056388073117185,0.1107269555617572,numpy_ridge
leave_session_64,taps_unified_v5,p95_jct,87,9.398309727929188,30.740523952434252,numpy_ridge
leave_session_64,taps_unified_v5,mean_jct,87,2.9849276846209207,14.589687399717747,numpy_ridge
leave_session_64,taps_unified_v5,throughput,87,0.012495176947757397,0.057658448075700135,numpy_ridge
leave_session_64,taps_unified_v5,ready_queue_wait,87,731.3225690571708,2979.763031123917,numpy_ridge
leave_session_64,taps_unified_v5,region_utilization,87,0.07014526641600732,0.1378863648147796,numpy_ridge
