total_sessions,active_session_limit,effective_regions,arrival_pattern,memory_budget_gb,policy,throughput,mean_jct,p50_jct,p95_jct,p99_jct,ready_queue_wait,ready_queue_empty_time,region_utilization,blocked_session_fraction,domain_cache_hit_rate,remote_kv_bytes,avg_context_hops,domain_switches,memory_occupancy,eviction_count,evicted_tokens,recompute_tokens,cache_hit_tokens,completed_sessions,admission_count,starvation_count,predictor_median_abs_error,predictor_p95_abs_error,slo_target,taps_u_p95_gain_over_reactive,taps_u_p95_gain_over_acd_nisp,taps_u_throughput_gain_over_reactive,taps_u_ready_wait_gain_over_reactive,taps_u_region_util_gain_over_reactive,strongest_baseline_p95,strongest_baseline_throughput,taps_u_p95_gain_over_strongest,taps_u_throughput_gain_over_strongest
16,16,4,bursty,32,taps_domain_v4,0.11649459610149648,43.75295353427668,37.18446797758381,96.02533492265019,129.081408277202,273.4517046064486,96.2655823786549,0.3394223502008114,0.10926971136454607,0.9797623518454536,36961476608.0,1.0,86,5982928896,0,0,13472,652218,16,16,0,0.046956610679626476,3.7432076930999756,32.105082321167,0.11135581742031493,0.11135581742031493,-0.0025161622581873293,0.2791493436566375,-0.0013211497966714725,96.02533492265019,0.11649459610149648,-0.034834072751207486,-0.0541318877407627
16,16,4,bursty,32,taps_unified,0.11018852370292478,44.94859380277957,41.51131335929357,99.37028842530485,136.0386052245997,292.26439179001204,102.84043220743814,0.32159551435265776,0.1033547356154949,0.9714837236551548,36662427648.0,1.0,94,5982928896,0,0,18983,646707,16,16,0,0.046956610679626476,3.7432076930999756,32.105082321167,0.11135581742031493,0.11135581742031493,-0.0025161622581873293,0.2791493436566375,-0.0013211497966714725,96.02533492265019,0.11649459610149648,-0.034834072751207486,-0.0541318877407627
32,8,2,closed_loop,16,static_admission,0.060970225514902075,54.9425279425471,42.74979390310388,120.37664841603933,231.00083395711766,791.8246939481728,353.2007655082923,0.35713259021726,0.140864258891859,0.0,0.0,0.0,160,0,0,0,1265029,0,32,32,0,0.046956610679626476,3.7432076930999756,32.105082321167,0.041753185088280804,0.041753185088280804,0.228858291579055,0.057633321797591675,0.0987452090107479,112.47741597941513,0.10764785540803001,-0.021341761508123794,0.006900682675065958
32,8,2,closed_loop,16,reactive_admission,0.08820439251752342,43.49809188462527,29.96782315888307,119.88339577928181,225.94167097769935,486.5397142955426,214.54697046311972,0.43267354766976274,0.20378547525547114,0.9844130055516513,35087532032.0,1.0,194,10583121920,0,0,19718,1245311,32,32,0,0.046956610679626476,3.7432076930999756,32.105082321167,0.041753185088280804,0.041753185088280804,0.228858291579055,0.057633321797591675,0.0987452090107479,112.47741597941513,0.10764785540803001,-0.021341761508123794,0.006900682675065958
32,8,2,closed_loop,16,acd_nisp,0.08820439251752342,43.49809188462527,29.96782315888307,119.88339577928181,225.94167097769935,486.5397142955426,214.54697046311972,0.43267354766976274,0.20378547525547114,0.9844130055516513,35087532032.0,1.0,194,10583121920,0,0,19718,1245311,32,32,0,0.046956610679626476,3.7432076930999756,32.105082321167,0.041753185088280804,0.041753185088280804,0.228858291579055,0.057633321797591675,0.0987452090107479,112.47741597941513,0.10764785540803001,-0.021341761508123794,0.006900682675065958
32,8,2,closed_loop,16,taps_admission_v4,0.10764785540803001,43.586200160355936,30.797260918651556,114.2991522924556,225.59933290910925,489.53849024084343,146.7111263720262,0.5277489662983162,0.24870722135747866,0.9870587946995681,30159904768.0,1.0,283,10583121920,0,0,16371,1248658,32,32,0,0.046956610679626476,3.7432076930999756,32.105082321167,0.041753185088280804,0.041753185088280804,0.228858291579055,0.057633321797591675,0.0987452090107479,112.47741597941513,0.10764785540803001,-0.021341761508123794,0.006900682675065958
32,8,2,closed_loop,16,taps_domain_v4,0.0920240385470597,42.90789850882013,29.691593070724586,112.47741597941513,220.67695700664106,467.67929015759125,196.1728394330453,0.4513732087207388,0.21261030085904956,0.9846232774110317,32435830784.0,1.0,175,10583121920,0,0,19452,1245577,32,32,0,0.046956610679626476,3.7432076930999756,32.105082321167,0.041753185088280804,0.041753185088280804,0.228858291579055,0.057633321797591675,0.0987452090107479,112.47741597941513,0.10764785540803001,-0.021341761508123794,0.006900682675065958
32,8,2,closed_loop,16,taps_unified,0.10839069909885221,42.616726242164546,30.397966277546928,114.87788216629784,235.26257926863175,458.49881437423926,144.70360449625628,0.5314187566805106,0.25042347097106404,0.9870587946995681,33462001664.0,1.0,271,10583121920,0,0,16371,1248658,32,32,0,0.046956610679626476,3.7432076930999756,32.105082321167,0.041753185088280804,0.041753185088280804,0.228858291579055,0.057633321797591675,0.0987452090107479,112.47741597941513,0.10764785540803001,-0.021341761508123794,0.006900682675065958
32,16,4,bursty,32,static_admission,0.07534351802565947,64.56737029680478,52.88904535936453,125.73590912604922,235.421879833584,1005.9761651691164,318.2318237244577,0.2759002834144762,0.08703599781171797,0.0,0.0,0.0,222,0,0,0,1265029,0,32,32,0,0.046956610679626476,3.7432076930999756,32.105082321167,0.06096623552134859,0.06096623552134859,0.0900480704389429,-0.02221157523862432,0.027745335677718697,107.7079403189993,0.11665955936126984,-0.05166773831310126,-0.031434371929391164
32,16,4,bursty,32,reactive_admission,0.10365821696073345,50.91956109106033,40.555221018739644,120.62714918087454,227.1812872305734,644.1031681525033,220.87499351957166,0.31896447697804037,0.11974482451812771,0.9691880581393786,88334647296.0,1.0,228,10583121920,0,0,38978,1226051,32,32,0,0.046956610679626476,3.7432076930999756,32.105082321167,0.06096623552134859,0.06096623552134859,0.0900480704389429,-0.02221157523862432,0.027745335677718697,107.7079403189993,0.11665955936126984,-0.05166773831310126,-0.031434371929391164
