policy,sessions,arrival_pattern,effective_regions,throughput_sessions_per_sec,mean_jct,p50_jct,p95_jct,p99_jct,ready_queue_wait,region_utilization,domain_cache_hit_rate,remote_kv_bytes,avg_context_hops,domain_batch_size,domain_switches,completed_sessions,algorithm,split,objective,p95_gain_vs_base,throughput_gain_vs_base,cfg_w_domain,cfg_w_batch,cfg_w_hot,cfg_w_resume,cfg_w_age,cfg_w_short,cfg_w_remote,cfg_w_evict,cfg_tau,total_sessions,active_session_limit,throughput,ready_queue_empty_time,blocked_session_fraction,admission_count,eviction_count,cfg_w_reuse,cfg_w_llm,cfg_w_stall,cfg_w_sram,cfg_w_tool_penalty,mean_cost_to_patch,mean_tokens_to_patch,patch_instances,cfg_w_patch,cfg_w_test,cfg_w_return,cfg_w_file,cfg_w_duplicate,cfg_w_error,cfg_w_token,cfg_w_stale
taps_domain,32,bursty,4,0.2457673703506351,48.54994667486284,47.20855777771844,103.5689326339704,126.56837056903635,862.0213124440108,0.5869258878457464,0.9753556232085314,70315843584.0,1.0,10.613569321533923,245,32,taps_domain,train,108.41163893293916,0.05246105357501918,0.19915541177556262,0.5,0,0.8,0.5,0.05,0,0.5,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
taps_domain,32,bursty,4,0.2310535177359848,47.709614517927605,49.684988096980774,107.9178626839494,135.24510871814985,835.3875413705913,0.5513235520074923,0.9793880966369349,61399654400.0,1.0,10.525073746312684,256,32,taps_domain,train,112.67727145985535,0.012673247590800484,0.1273631475471867,0.5,0,0.8,0.5,0.05,0.3,0.5,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
taps_domain,32,bursty,4,0.2277876754864254,47.488786727610645,44.8981523960541,107.43301807979662,136.716761908235,828.3872147096058,0.5434130879266995,0.980881358044473,63910920192.0,1.0,10.495575221238939,260,32,taps_domain,train,112.17050736878338,0.017109028994692896,0.11142835359151583,0.5,0,0.8,0.5,0.05,1.0,0.5,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
taps_domain,32,bursty,4,0.24575209284840926,48.415562297052176,47.629929456261024,103.28172495705023,126.5739556564794,857.7015541012697,0.586926761737092,0.9753556232085314,74207494144.0,1.0,10.551622418879056,246,32,taps_domain,train,108.11099358211303,0.055088679955566114,0.1990808693355049,0.5,0,0.8,1.0,0.05,0,0.5,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
taps_admission,,,4,,36.06843663956372,,60.75580822535717,134.85071599473943,,0.8182180645084722,,,,,,64,taps_admission,train,64.34582016751192,-0.026069592888944722,1.4821104782694758,,,,,,,,,,64,16,0.33663443603236254,39.780330645529546,0.08885466291485342,64,0,0.5,0,0,0,0,,,,,,,,,,,
taps_admission,,,4,,38.17493327786288,,67.3378274067685,130.38718132125234,,0.6365521971859395,,,,,,64,taps_admission,train,71.14222609638924,-0.13722949577110644,0.9310168610733701,,,,,,,,,,64,16,0.2618927633106922,100.44649533470567,0.09313184088328338,64,0,0.5,0,0,0,0.5,,,,,,,,,,,
taps_admission,,,4,,38.17493327786288,,67.3378274067685,130.38718132125234,,0.6365521971859395,,,,,,64,taps_admission,train,71.14222609638924,-0.13722949577110644,0.9310168610733701,,,,,,,,,,64,16,0.2618927633106922,100.44649533470567,0.09313184088328338,64,0,0.5,0,0,0,1.0,,,,,,,,,,,
taps_admission,,,4,,36.06843663956372,,60.75580822535717,134.85071599473943,,0.8182180645084722,,,,,,64,taps_admission,train,64.34582016751192,-0.026069592888944722,1.4821104782694758,,,,,,,,,,64,16,0.33663443603236254,39.780330645529546,0.08885466291485342,64,0,0.5,0,0,0.5,0,,,,,,,,,,,
taps_admission,,,4,,38.17493327786288,,67.3378274067685,130.38718132125234,,0.6365521971859395,,,,,,64,taps_admission,train,71.14222609638924,-0.13722949577110644,0.9310168610733701,,,,,,,,,,64,16,0.2618927633106922,100.44649533470567,0.09313184088328338,64,0,0.5,0,0,0.5,0.5,,,,,,,,,,,
taps_admission,,,4,,38.17493327786288,,67.3378274067685,130.38718132125234,,0.6365521971859395,,,,,,64,taps_admission,train,71.14222609638924,-0.13722949577110644,0.9310168610733701,,,,,,,,,,64,16,0.2618927633106922,100.44649533470567,0.09313184088328338,64,0,0.5,0,0,0.5,1.0,,,,,,,,,,,
