policy,sessions,arrival_pattern,effective_regions,throughput_sessions_per_sec,mean_jct,p50_jct,p95_jct,p99_jct,ready_queue_wait,region_utilization,domain_cache_hit_rate,remote_kv_bytes,avg_context_hops,domain_batch_size,domain_switches,completed_sessions,domain_remote_kv_reduction,domain_p95_jct_gain,domain_mean_jct_gain,domain_ready_wait_gain
acd_nisp,16,poisson,1,0.09591119497093362,104.06485517997164,100.41932732196115,157.67136315648426,158.29775895832537,1299.5407694055698,0.7515468850328668,0.987216271838243,0.0,0.0,7.72258064516129,133,16,0.0,-0.06951505195662705,0.20847881112790947,0.2671136487458394
taps_domain,16,poisson,1,0.07957948242546214,82.36953789185308,71.5267018860527,168.63189615837948,193.52869265553886,952.4156927956725,0.6235738398161847,0.987216271838243,0.0,0.0,5.438709677419355,55,16,0.0,-0.06951505195662705,0.20847881112790947,0.2671136487458394
naive_wafer,32,poisson,1,0.07165609577096427,252.9949667441084,263.2624587052495,283.31330072053174,370.47146750591395,7188.439927769879,0.7074746892494883,0.0,0.0,0.0,19.583333333333332,258,32,0.0,-0.3470528902137672,0.25998484792619597,0.2978618215206233
acd_nisp,32,poisson,1,0.07657650729270335,210.30212513069858,216.60792364164024,242.2881407797314,337.8467676749209,5873.903891842002,0.6324917533913004,0.9870587946995681,0.0,0.0,19.233974358974358,271,32,0.0,-0.3470528902137672,0.25998484792619597,0.2978618215206233
taps_domain,32,poisson,1,0.07594867571213706,155.62675911003808,186.72314602533294,326.3749403018573,373.3697029578984,4124.292179180865,0.6273061121121947,0.9870587946995681,0.0,0.0,13.685897435897436,155,32,0.0,-0.3470528902137672,0.25998484792619597,0.2978618215206233
naive_wafer,64,poisson,1,0.08740568306286113,507.3857826430538,537.5961396048713,570.9128671199404,648.3903601652637,30668.02506536174,0.8748787851833743,0.0,0.0,0.0,39.16453674121406,571,64,0.0,-0.161468659228263,0.16401782943069299,0.17509803104656402
acd_nisp,64,poisson,1,0.09874153741567471,419.3751125972876,433.0351230223087,465.2714782217195,556.2280490189141,25141.571824406998,0.8244489586152838,0.9919890102335828,0.0,0.0,38.364217252396166,562,64,0.0,-0.161468659228263,0.16401782943069299,0.17509803104656402
taps_domain,64,poisson,1,0.10383484228891383,350.59011691182803,392.04370716649,540.3982399873325,567.7641649248154,20739.332100537562,0.8669758425240763,0.9919890102335828,0.0,0.0,32.43929712460064,413,64,0.0,-0.161468659228263,0.16401782943069299,0.17509803104656402
naive_wafer,8,poisson,2,0.060280356325233,49.266012514233964,30.527020567745417,117.97810987843347,129.59874970956804,108.90404286374601,0.32137548109876424,0.0,0.0,0.0,1.948051948051948,37,8,0.05169004484908661,0.008530310082164969,0.051260200770815806,0.21013925483705015
acd_nisp,8,poisson,2,0.061941443815427176,45.09080493215765,25.182532533222776,114.07312973989677,125.97057091449486,87.67193460294482,0.2831188365982165,0.9721799914339614,6814932992.0,1.0,1.8571428571428572,36,8,0.05169004484908661,0.008530310082164969,0.051260200770815806,0.21013925483705015
