config_id,total_sessions,active_session_limit,effective_regions,arrival_pattern,memory_budget_gb,policy,throughput,mean_jct,p95_jct,p99_jct,ready_queue_wait,region_utilization,domain_cache_hit_rate,blocked_session_fraction,remote_kv_bytes,memory_occupancy,starvation_count,completed_sessions
aligned_v8:ts32:al8:er16:arrpoisson:mem64,32,8,16,poisson,64,taps_admission_v4,0.10678913803989311,46.61859237532074,122.93709825977209,239.47257506292272,0.0,0.1877858261417235,0.985606654076705,0.24672325976575687,344748285952.0,10583121920,0,32
aligned_v8:ts32:al8:er16:arrpoisson:mem64,32,8,16,poisson,64,taps_unified_v5,0.10681016175202004,46.569702601240735,122.92533544274812,239.43260542616108,0.0,0.18749642548152354,0.985606654076705,0.24677183248470144,31853731840.0,10583121920,0,32
aligned_v8:ts32:al8:er16:arrpoisson:mem64,32,8,16,poisson,64,taps_unified_adaptive_v6,0.10681016175202004,46.569702601240735,122.92533544274812,239.43260542616108,0.0,0.18749642548152354,0.985606654076705,0.24677183248470144,31853731840.0,10583121920,0,32
aligned_v8:ts16:al4:er8:arrbursty:mem64,16,4,8,bursty,64,reactive_admission,0.11263901988278571,31.902620777030112,96.76365054440419,132.99008254074607,0.0,0.23787848332502068,0.977002809115354,0.42261301735417584,27731214336.0,5982928896,0,16
aligned_v8:ts16:al4:er8:arrbursty:mem64,16,4,8,bursty,64,acd_nisp,0.11263901988278571,31.902620777030112,96.76365054440419,132.99008254074607,0.0,0.23787848332502068,0.977002809115354,0.42261301735417584,27731214336.0,5982928896,0,16
aligned_v8:ts16:al4:er8:arrbursty:mem64,16,4,8,bursty,64,taps_domain_v4,0.11264548798898139,31.898667320390118,96.76445085160418,132.9837175431141,0.0,0.2378364757151253,0.977002809115354,0.4226372851956289,15080153088.0,5982928896,0,16
aligned_v8:ts16:al4:er8:arrbursty:mem64,16,4,8,bursty,64,taps_admission_v4,0.10042097348686556,31.870042614517107,96.6642681547832,132.9738597931259,0.0,0.21166666878954915,0.987216271838243,0.37677183852532614,37410136064.0,5982928896,0,16
aligned_v8:ts16:al4:er8:arrbursty:mem64,16,4,8,bursty,64,taps_unified_v5,0.10043192347532716,31.861562565877108,96.65669652470316,132.96169026378186,0.0,0.21158329065384682,0.987216271838243,0.37681292204743577,10273980416.0,5982928896,0,16
aligned_v8:ts16:al4:er8:arrbursty:mem64,16,4,8,bursty,64,taps_unified_adaptive_v6,0.10043192347532716,31.861562565877108,96.65669652470316,132.96169026378186,0.0,0.21158329065384682,0.987216271838243,0.37681292204743577,10273980416.0,5982928896,0,16
aligned_v8:ts128:al32:er1:arrbursty:mem32,128,32,1,bursty,32,reactive_admission,0.1099156912546125,227.38999666242043,296.759502396524,462.7922056526474,26037.125547455023,0.9618178150796137,0.9948254718129965,0.052293929756471964,0.0,16559915008,0,128
aligned_v8:ts128:al32:er1:arrbursty:mem32,128,32,1,bursty,32,acd_nisp,0.1099156912546125,227.38999666242043,296.759502396524,462.7922056526474,26037.125547455023,0.9618178150796137,0.9948254718129965,0.052293929756471964,0.0,16559915008,0,128
aligned_v8:ts128:al32:er1:arrbursty:mem32,128,32,1,bursty,32,taps_domain_v4,0.11133945953857322,179.94745783651865,412.2906052209031,731.7626937190128,19964.480577739596,0.9742765066861354,0.9948254718129965,0.05297130746097526,0.0,16559915008,55,128
aligned_v8:ts128:al32:er1:arrbursty:mem32,128,32,1,bursty,32,taps_admission_v4,0.11403007154794546,216.69408069424884,318.6902268748826,443.848875792022,24668.048303529038,0.9978207207518649,0.9948254718129965,0.054251403813133946,0.0,16559915008,0,128
aligned_v8:ts128:al32:er1:arrbursty:mem32,128,32,1,bursty,32,taps_unified_v5,0.1140321775147494,194.88250333815992,282.3430478548738,338.8412774571223,21876.16640194964,0.9978391490250875,0.9948254718129965,0.05425240575634016,0.0,16559915008,36,128
aligned_v8:ts128:al32:er1:arrbursty:mem32,128,32,1,bursty,32,taps_unified_adaptive_v6,0.11388141113240599,196.24559547901748,256.86866039086715,341.52633854393144,22050.642195979413,0.9965198670299721,0.9948254718129965,0.05418067653808285,0.0,16559915008,25,128
aligned_v8:ts128:al8:er4:arrbursty:mem64,128,8,4,bursty,64,reactive_admission,0.1956422344787943,30.570140818422384,83.58307496126179,258.36126362516103,299.9755661333777,0.6359416111958627,0.993032294193269,0.372318134033623,397093494784.0,16559915008,0,128
aligned_v8:ts128:al8:er4:arrbursty:mem64,128,8,4,bursty,64,acd_nisp,0.1956422344787943,30.570140818422384,83.58307496126179,258.36126362516103,299.9755661333777,0.6359416111958627,0.993032294193269,0.372318134033623,397093494784.0,16559915008,0,128
aligned_v8:ts128:al8:er4:arrbursty:mem64,128,8,4,bursty,64,taps_domain_v4,0.19569704323750373,30.57211688815818,83.47384043421452,258.029565785116,300.23867155799223,0.6361158822833798,0.9920819135591668,0.37242243817237886,332254232576.0,16559915008,0,128
aligned_v8:ts128:al8:er4:arrbursty:mem64,128,8,4,bursty,64,taps_admission_v4,0.2489151321694997,30.821767173056408,79.71128799552645,257.81557245461136,332.6940120771442,0.8088588673926445,0.9948254718129965,0.47369944321570306,413366689792.0,16559915008,0,128
aligned_v8:ts128:al8:er4:arrbursty:mem64,128,8,4,bursty,64,taps_unified_v5,0.24776241533815013,30.836696932386264,80.66572744088141,257.5279887228676,335.3176744400065,0.8047682110128285,0.9948254718129965,0.47150575849900267,270836056064.0,16559915008,0,128
aligned_v8:ts128:al8:er4:arrbursty:mem64,128,8,4,bursty,64,taps_unified_adaptive_v6,0.24806715492966408,30.88475980257068,81.93759777678419,257.4154725425542,341.5368773820122,0.8057255120627994,0.9948254718129965,0.47208569501619047,257404944384.0,16559915008,0,128
