instance_id,policy,max_active_branches,max_steps_per_branch,time_to_first_nonempty_patch,tokens_to_first_nonempty_patch,cost_to_first_nonempty_patch,branches_pruned,duplicate_patch_rate,official_success_if_available,verifier_unknown_count,total_tokens_used,total_tool_time,model_side_time,pabb_online_gain_vs_fcfs,oracle_gap
django__django-11999,fcfs_budget,1,10,9.160701915397174,25140,9.160701915397174,0,0.0,unknown,4,25140,1.7096128463745117,7.451089069022663,,0.4953318562332622
django__django-11999,fcfs_budget,1,15,13.21544010255439,46951,13.21544010255439,0,0.0,unknown,4,46951,2.0653107166290283,11.150129385925363,,0.6501732522437678
django__django-11999,fcfs_budget,2,5,7.3293292684463465,18355,7.3293292684463465,0,0.0,unknown,4,18355,1.1831161975860596,6.146213070860286,,0.08961860304941764
django__django-11999,fcfs_budget,2,10,7.3293292684463465,18355,7.3293292684463465,0,0.0,unknown,4,18355,1.1831161975860596,6.146213070860286,,0.08961860304941764
django__django-11999,fcfs_budget,2,15,7.3293292684463465,18355,7.3293292684463465,0,0.0,unknown,4,18355,1.1831161975860596,6.146213070860286,,0.08961860304941764
django__django-11999,fcfs_budget,4,5,12.788905352829778,25118,12.788905352829778,0,0.0,unknown,4,28895,2.0642306804656982,12.36572857751699,,0.05136047474008664
django__django-11999,fcfs_budget,4,10,12.788905352829778,25118,12.788905352829778,0,0.0,unknown,4,28895,2.0642306804656982,12.36572857751699,,0.05136047474008664
django__django-11999,fcfs_budget,4,15,12.788905352829778,25118,12.788905352829778,0,0.0,unknown,4,28895,2.0642306804656982,12.36572857751699,,0.05136047474008664
django__django-11999,pabb_online,1,5,8.359457229308257,17247,8.359457229308257,0,0.0,unknown,4,17247,1.000824213027954,7.358633016280303,-0.14054873551618652,0.4469599754592616
django__django-11999,pabb_online,1,10,8.359457229308257,17247,8.359457229308257,0,0.0,unknown,4,17247,1.000824213027954,7.358633016280303,0.08746542497384369,0.4469599754592616
django__django-11999,pabb_online,1,15,8.359457229308257,17247,8.359457229308257,0,0.0,unknown,4,17247,1.000824213027954,7.358633016280303,0.36744768509885106,0.4469599754592616
django__django-11999,pabb_online,2,5,10.080140995319029,19052,10.080140995319029,0,0.0,unknown,4,19052,1.523338794708252,8.556802200610777,-0.3753156156751289,0.33805638024135637
django__django-11999,pabb_online,2,10,10.080140995319029,19052,10.080140995319029,0,0.0,unknown,4,19052,1.523338794708252,8.556802200610777,-0.3753156156751289,0.33805638024135637
django__django-11999,pabb_online,2,15,10.080140995319029,19052,10.080140995319029,0,0.0,unknown,4,19052,1.523338794708252,8.556802200610777,-0.3753156156751289,0.33805638024135637
django__django-11999,pabb_online,4,5,12.788905352829778,25118,12.788905352829778,0,0.0,unknown,4,28895,2.0642306804656982,12.36572857751699,0.0,0.05136047474008664
django__django-11999,pabb_online,4,10,12.788905352829778,25118,12.788905352829778,0,0.0,unknown,4,28895,2.0642306804656982,12.36572857751699,0.0,0.05136047474008664
django__django-11999,pabb_online,4,15,12.788905352829778,25118,12.788905352829778,0,0.0,unknown,4,28895,2.0642306804656982,12.36572857751699,0.0,0.05136047474008664
django__django-11999,pabb_oracle_upper_bound,1,5,4.623114431243891,12460,4.623114431243891,0,0.0,unknown,4,12460,0.823772668838501,3.79934176240539,,0.0
django__django-11999,pabb_oracle_upper_bound,1,10,4.623114431243891,12460,4.623114431243891,0,0.0,unknown,4,12460,0.823772668838501,3.79934176240539,,0.0
django__django-11999,pabb_oracle_upper_bound,1,15,4.623114431243891,12460,4.623114431243891,0,0.0,unknown,4,12460,0.823772668838501,3.79934176240539,,0.0
django__django-11999,pabb_oracle_upper_bound,2,5,6.672485018118975,15706,6.672485018118975,0,0.0,unknown,4,18355,1.1831161975860596,6.146213070860286,,0.0
django__django-11999,pabb_oracle_upper_bound,2,10,6.672485018118975,15706,6.672485018118975,0,0.0,unknown,4,18355,1.1831161975860596,6.146213070860286,,0.0
django__django-11999,pabb_oracle_upper_bound,2,15,6.672485018118975,15706,6.672485018118975,0,0.0,unknown,4,18355,1.1831161975860596,6.146213070860286,,0.0
django__django-11999,pabb_oracle_upper_bound,4,5,12.132061102502405,22469,12.132061102502405,0,0.0,unknown,4,28895,2.0642306804656982,12.36572857751699,,0.0
django__django-11999,pabb_oracle_upper_bound,4,10,12.132061102502405,22469,12.132061102502405,0,0.0,unknown,4,28895,2.0642306804656982,12.36572857751699,,0.0
django__django-11999,pabb_oracle_upper_bound,4,15,12.132061102502405,22469,12.132061102502405,0,0.0,unknown,4,28895,2.0642306804656982,12.36572857751699,,0.0
django__django-12125,launch_all,1,5,,,,0,0.0,unknown,4,25080,2.9999732971191406,13.081763019792685,,
django__django-12125,launch_all,1,10,,,,0,0.0,unknown,4,49156,67.44677829742432,24.604286833191793,,
django__django-12125,launch_all,1,15,,,,0,0.0,unknown,4,94826,193.18180012702942,36.103104664042974,,
django__django-12125,launch_all,2,5,,,,0,0.0,unknown,4,25080,2.9999732971191406,13.081763019792685,,
django__django-12125,launch_all,2,10,,,,0,0.0,unknown,4,49156,67.44677829742432,24.604286833191793,,
django__django-12125,launch_all,2,15,,,,0,0.0,unknown,4,94826,193.18180012702942,36.103104664042974,,
django__django-12125,launch_all,4,5,,,,0,0.0,unknown,4,25080,2.9999732971191406,13.081763019792685,,
django__django-12125,launch_all,4,10,,,,0,0.0,unknown,4,49156,67.44677829742432,24.604286833191793,,
django__django-12125,launch_all,4,15,,,,0,0.0,unknown,4,94826,193.18180012702942,36.103104664042974,,
django__django-12125,fcfs_budget,1,5,,,,0,0.0,unknown,4,25080,2.9999732971191406,13.081763019792685,,
django__django-12125,fcfs_budget,1,10,,,,0,0.0,unknown,4,49156,67.44677829742432,24.604286833191793,,
django__django-12125,fcfs_budget,1,15,,,,0,0.0,unknown,4,94826,193.18180012702942,36.103104664042974,,
django__django-12125,fcfs_budget,2,5,,,,0,0.0,unknown,4,25080,2.9999732971191406,13.081763019792685,,
django__django-12125,fcfs_budget,2,10,,,,0,0.0,unknown,4,49156,67.44677829742432,24.604286833191793,,
django__django-12125,fcfs_budget,2,15,,,,0,0.0,unknown,4,94826,193.18180012702942,36.103104664042974,,
django__django-12125,fcfs_budget,4,5,,,,0,0.0,unknown,4,25080,2.9999732971191406,13.081763019792685,,
django__django-12125,fcfs_budget,4,10,,,,0,0.0,unknown,4,49156,67.44677829742432,24.604286833191793,,
django__django-12125,fcfs_budget,4,15,,,,0,0.0,unknown,4,94826,193.18180012702942,36.103104664042974,,
django__django-12125,pabb_online,1,5,,,,0,0.0,unknown,4,25080,2.9999732971191406,13.081763019792685,,
django__django-12125,pabb_online,1,10,,,,0,0.0,unknown,4,49156,67.44677829742432,24.604286833191793,,
django__django-12125,pabb_online,1,15,,,,0,0.0,unknown,4,94826,193.18180012702942,36.103104664042974,,
django__django-12125,pabb_online,2,5,,,,0,0.0,unknown,4,25080,2.9999732971191406,13.081763019792685,,
django__django-12125,pabb_online,2,10,,,,0,0.0,unknown,4,49156,67.44677829742432,24.604286833191793,,
django__django-12125,pabb_online,2,15,,,,0,0.0,unknown,4,94826,193.18180012702942,36.103104664042974,,
django__django-12125,pabb_online,4,5,,,,0,0.0,unknown,4,25080,2.9999732971191406,13.081763019792685,,
django__django-12125,pabb_online,4,10,,,,0,0.0,unknown,4,49156,67.44677829742432,24.604286833191793,,
django__django-12125,pabb_online,4,15,,,,0,0.0,unknown,4,94826,193.18180012702942,36.103104664042974,,
django__django-12125,pabb_oracle_upper_bound,1,5,,,,0,0.0,unknown,4,25080,2.9999732971191406,13.081763019792685,,
django__django-12125,pabb_oracle_upper_bound,1,10,,,,0,0.0,unknown,4,49156,67.44677829742432,24.604286833191793,,
django__django-12125,pabb_oracle_upper_bound,1,15,,,,0,0.0,unknown,4,94826,193.18180012702942,36.103104664042974,,
django__django-12125,pabb_oracle_upper_bound,2,5,,,,0,0.0,unknown,4,25080,2.9999732971191406,13.081763019792685,,
django__django-12125,pabb_oracle_upper_bound,2,10,,,,0,0.0,unknown,4,49156,67.44677829742432,24.604286833191793,,
