config_id,total_sessions,active_session_limit,effective_regions,arrival_pattern,memory_budget_gb,policy,throughput,mean_jct,p95_jct,p99_jct,ready_queue_wait,region_utilization,domain_cache_hit_rate,blocked_session_fraction,remote_kv_bytes,memory_occupancy,starvation_count,source_file,comparable_axis,oracle_policy,session_pressure,region_pressure,memory_pressure_bucket,memory_pressure_bucket_id,arrival_closed_loop,arrival_poisson,arrival_bursty,high_domain_locality,high_tool_blocking,high_region_pressure,high_session_pressure,available_policies,missing_policies,best_policy_by_p95,best_policy_by_throughput,best_policy_by_ready_wait,best_policy_by_objective,policy_coverage_count,objective
aligned:ts16:al4:er1:arrpoisson:mem8,16,4,1,poisson,8,static_admission,0.06109458650721649,44.644198705139296,105.05467661553254,128.7609970320711,321.27630947173844,0.5838647267278645,0.0,0.22922223199996414,0.0,0.0,0,data/results/taps_unified_pr4_v5.csv,true,false,4.0,4.0,low,1,0,1,0,1,1,1,1,"acd_nisp,reactive_admission,static_admission,taps_admission_v4,taps_domain_v4,taps_unified_adaptive_v6,taps_unified_v5",,taps_admission_v4,reactive_admission,reactive_admission,taps_admission_v4,7,113.37257049148823
aligned:ts16:al4:er1:arrpoisson:mem8,16,4,1,poisson,8,taps_admission_v4,0.0937909436399511,33.28650858457961,95.85448072612061,121.73834755640961,167.08722387929703,0.7349328882646102,0.987216271838243,0.3518964718746886,0.0,5982928896.0,0,data/results/taps_unified_pr4_v5.csv,true,false,4.0,4.0,low,1,0,1,0,1,1,1,1,"acd_nisp,reactive_admission,static_admission,taps_admission_v4,taps_domain_v4,taps_unified_adaptive_v6,taps_unified_v5",,taps_admission_v4,reactive_admission,reactive_admission,taps_admission_v4,7,101.57387300663703
aligned:ts16:al4:er1:arrpoisson:mem8,16,4,1,poisson,8,taps_domain_v4,0.11105979865992861,31.997242649402974,101.48693519911374,135.1608312402579,146.45896891647084,0.8702492525564062,0.987216271838243,0.4166878996928549,0.0,5982928896.0,0,data/results/taps_unified_pr4_v5.csv,true,false,4.0,4.0,low,1,0,1,0,1,1,1,1,"acd_nisp,reactive_admission,static_admission,taps_admission_v4,taps_domain_v4,taps_unified_adaptive_v6,taps_unified_v5",,taps_admission_v4,reactive_admission,reactive_admission,taps_admission_v4,7,106.77578574239506
aligned:ts16:al4:er1:arrpoisson:mem8,16,4,1,poisson,8,taps_unified_adaptive_v6,0.08851337043721617,33.70365165962098,100.31185663704936,142.42753428557324,173.76151307995906,0.693578553118954,0.987216271838243,0.33209541946996846,0.0,5982928896.0,0,data/results/taps_unified_adaptive_pr4_v6.csv,true,false,4.0,4.0,low,1,0,1,0,1,1,1,1,"acd_nisp,reactive_admission,static_admission,taps_admission_v4,taps_domain_v4,taps_unified_adaptive_v6,taps_unified_v5",,taps_admission_v4,reactive_admission,reactive_admission,taps_admission_v4,7,106.16745326460139
aligned:ts16:al4:er1:arrpoisson:mem8,16,4,1,poisson,8,taps_unified_v5,0.09451115244958495,33.719846887335876,99.65047271785977,129.2938734584914,174.02063672339733,0.7405763450854495,0.987216271838243,0.3545986404347592,0.0,5982928896.0,0,data/results/taps_unified_pr4_v5.csv,true,false,4.0,4.0,low,1,0,1,0,1,1,1,1,"acd_nisp,reactive_admission,static_admission,taps_admission_v4,taps_domain_v4,taps_unified_adaptive_v6,taps_unified_v5",,taps_admission_v4,reactive_admission,reactive_admission,taps_admission_v4,7,105.44933057083111
aligned:ts32:al16:er4:arrbursty:mem32,32,16,4,bursty,32,acd_nisp,0.10365821696073345,50.91956109106033,120.62714918087454,227.1812872305734,644.1031681525033,0.31896447697804037,0.9691880581393786,0.11974482451812771,88334647296.0,10583121920.0,0,data/results/taps_unified_pr4_v5.csv,true,false,2.0,4.0,mid,2,0,0,1,1,1,1,0,"acd_nisp,reactive_admission,static_admission,taps_admission_v4,taps_domain_v4,taps_unified_adaptive_v6,taps_unified_v5",,taps_domain_v4,taps_admission_v4,taps_domain_v4,taps_domain_v4,7,129.77447922947928
aligned:ts32:al16:er4:arrbursty:mem32,32,16,4,bursty,32,reactive_admission,0.10365821696073345,50.91956109106033,120.62714918087454,227.1812872305734,644.1031681525033,0.31896447697804037,0.9691880581393786,0.11974482451812771,88334647296.0,10583121920.0,0,data/results/taps_unified_pr4_v5.csv,true,false,2.0,4.0,mid,2,0,0,1,1,1,1,0,"acd_nisp,reactive_admission,static_admission,taps_admission_v4,taps_domain_v4,taps_unified_adaptive_v6,taps_unified_v5",,taps_domain_v4,taps_admission_v4,taps_domain_v4,taps_domain_v4,7,129.77447922947928
aligned:ts32:al16:er4:arrbursty:mem32,32,16,4,bursty,32,static_admission,0.07534351802565947,64.56737029680478,125.73590912604922,235.421879833584,1005.9761651691164,0.2759002834144762,0.0,0.08703599781171797,0.0,0.0,0,data/results/taps_unified_pr4_v5.csv,true,false,2.0,4.0,mid,2,0,0,1,1,1,1,0,"acd_nisp,reactive_admission,static_admission,taps_admission_v4,taps_domain_v4,taps_unified_adaptive_v6,taps_unified_v5",,taps_domain_v4,taps_admission_v4,taps_domain_v4,taps_domain_v4,7,137.8959480051536
aligned:ts32:al16:er4:arrbursty:mem32,32,16,4,bursty,32,taps_admission_v4,0.11665955936126984,52.31493055929886,119.9085040490954,232.6419846980183,689.4141697082732,0.3583698517286958,0.978383104260851,0.13476383130696792,90912489472.0,10583121920.0,0,data/results/taps_unified_pr4_v5.csv,true,false,2.0,4.0,mid,2,0,0,1,1,1,1,0,"acd_nisp,reactive_admission,static_admission,taps_admission_v4,taps_domain_v4,taps_unified_adaptive_v6,taps_unified_v5",,taps_domain_v4,taps_admission_v4,taps_domain_v4,taps_domain_v4,7,129.20489456734248
aligned:ts32:al16:er4:arrbursty:mem32,32,16,4,bursty,32,taps_domain_v4,0.10415716389258603,49.03727735390754,107.7079403189993,227.6314220315975,584.7966082649762,0.31974584100661957,0.9807324575167842,0.12032120248940982,71721803776.0,10583121920.0,0,data/results/taps_unified_pr4_v5.csv,true,false,2.0,4.0,mid,2,0,0,1,1,1,1,0,"acd_nisp,reactive_admission,static_admission,taps_admission_v4,taps_domain_v4,taps_unified_adaptive_v6,taps_unified_v5",,taps_domain_v4,taps_admission_v4,taps_domain_v4,taps_domain_v4,7,116.47382415085495
aligned:ts32:al16:er4:arrbursty:mem32,32,16,4,bursty,32,taps_unified_adaptive_v6,0.11483680292309834,50.05392684285032,133.46765822084708,242.93492678894944,617.2173730634947,0.3526311245332173,0.9795751717944806,0.1326582032513472,77240131584.0,10583121920.0,0,data/results/taps_unified_adaptive_pr4_v6.csv,true,false,2.0,4.0,mid,2,0,0,1,1,1,1,0,"acd_nisp,reactive_admission,static_admission,taps_admission_v4,taps_domain_v4,taps_unified_adaptive_v6,taps_unified_v5",,taps_domain_v4,taps_admission_v4,taps_domain_v4,taps_domain_v4,7,142.33007556018615
aligned:ts32:al16:er4:arrbursty:mem32,32,16,4,bursty,32,taps_unified_v5,0.1129924393831888,51.3320613477253,113.27296599364449,237.7608705824083,658.4097141333589,0.34670981265575906,0.983395637570364,0.13052761491103496,74653687808.0,10583121920.0,0,data/results/taps_unified_pr4_v5.csv,true,false,2.0,4.0,mid,2,0,0,1,1,1,1,0,"acd_nisp,reactive_admission,static_admission,taps_admission_v4,taps_domain_v4,taps_unified_adaptive_v6,taps_unified_v5",,taps_domain_v4,taps_admission_v4,taps_domain_v4,taps_domain_v4,7,122.40945386935766
aligned:ts32:al8:er2:arrclosed_loop:mem16,32,8,2,closed_loop,16,acd_nisp,0.08820439251752342,43.49809188462527,119.88339577928181,225.94167097769935,486.5397142955426,0.43267354766976274,0.9844130055516513,0.20378547525547114,35087532032.0,10583121920.0,0,data/results/taps_unified_pr4_v5.csv,true,false,4.0,4.0,low,1,1,0,0,1,1,1,1,"acd_nisp,reactive_admission,static_admission,taps_admission_v4,taps_domain_v4,taps_unified_adaptive_v6,taps_unified_v5",,taps_domain_v4,taps_unified_v5,taps_unified_adaptive_v6,taps_domain_v4,7,127.70097023103163
