total_sessions,active_session_limit,effective_regions,arrival_pattern,memory_budget_gb,policy,throughput,mean_jct,p50_jct,p95_jct,p99_jct,ready_queue_wait,ready_queue_empty_time,region_utilization,blocked_session_fraction,domain_cache_hit_rate,remote_kv_bytes,avg_context_hops,domain_switches,memory_occupancy,eviction_count,evicted_tokens,recompute_tokens,cache_hit_tokens,completed_sessions,admission_count,starvation_count,predictor_median_abs_error,predictor_p95_abs_error,slo_target,strongest_non_oracle_baseline_p95_policy,strongest_non_oracle_baseline_throughput_policy,strongest_non_oracle_baseline_ready_wait_policy,strongest_baseline_p95,strongest_baseline_throughput,strongest_baseline_ready_wait,p95_gain_over_reactive,p95_gain_over_strongest_baseline,throughput_gain_over_strongest_baseline,ready_wait_gain_over_strongest_baseline,regime_counts,policy_profile_counts,regime_transition_counts,regime_switches,per_regime_policy_decisions
16,16,4,bursty,32,taps_unified_v5,0.107106744071688,44.832814486952294,41.5482853657369,112.89010527811689,142.08496817589793,290.6428417269581,106.70478570756657,0.3122145993733214,0.1004640850440213,0.9772236326217909,34755395584.0,1.0,95,5982928896,0,0,15162,650528,16,16,0,0.046956610679626476,3.7432076930999756,32.105082321167,taps_domain_v4,taps_domain_v4,taps_domain_v4,96.02533492265019,0.11649459610149648,273.4517046064486,0.07076453113503851,-0.08210298749598634,-0.10601744435209995,-0.024928555152593162,,,,,
16,16,4,bursty,32,taps_unified_adaptive_v6,0.10414413674198572,44.199348011787635,34.71008159287868,103.90930179510244,143.6884434892033,280.26846050630104,113.1179222973837,0.3039674213505584,0.09768521582058531,0.9714837236551548,38262153216.0,1.0,86,5982928896,0,0,18983,646707,16,16,0,0.046956610679626476,3.7432076930999756,73.92709851264954,taps_domain_v4,taps_domain_v4,taps_domain_v4,96.02533492265019,0.11649459610149648,273.4517046064486,0.07076453113503851,-0.08210298749598634,-0.10601744435209995,-0.024928555152593162,"{""BALANCED"": 172, ""DOMAIN_HOT"": 940, ""TAIL_RISK"": 117}","{""balanced"": 172, ""domain_hot"": 940, ""tail_risk"": 117}","{""BALANCED->DOMAIN_HOT"": 2, ""DOMAIN_HOT->BALANCED"": 1, ""DOMAIN_HOT->TAIL_RISK"": 2, ""TAIL_RISK->DOMAIN_HOT"": 1}",6,"{""BALANCED:admit_score"": 136, ""BALANCED:schedule_score"": 36, ""DOMAIN_HOT:schedule_score"": 940, ""TAIL_RISK:schedule_score"": 117}"
32,8,2,closed_loop,16,reactive_admission,0.08820439251752342,43.49809188462527,29.96782315888307,119.88339577928181,225.94167097769935,486.5397142955426,214.54697046311972,0.43267354766976274,0.20378547525547114,0.9844130055516513,35087532032.0,1.0,194,10583121920,0,0,19718,1245311,32,32,0,0.046956610679626476,3.7432076930999756,32.105082321167,taps_domain_v4,taps_unified_v5,taps_domain_v4,112.47741597941513,0.10832332093410578,467.67929015759125,-0.058179775159857006,-0.12785472253680974,-0.008261418275482308,0.024255824802028036,,,,,
32,8,2,closed_loop,16,acd_nisp,0.08820439251752342,43.49809188462527,29.96782315888307,119.88339577928181,225.94167097769935,486.5397142955426,214.54697046311972,0.43267354766976274,0.20378547525547114,0.9844130055516513,35087532032.0,1.0,194,10583121920,0,0,19718,1245311,32,32,0,0.046956610679626476,3.7432076930999756,32.105082321167,taps_domain_v4,taps_unified_v5,taps_domain_v4,112.47741597941513,0.10832332093410578,467.67929015759125,-0.058179775159857006,-0.12785472253680974,-0.008261418275482308,0.024255824802028036,,,,,
32,8,2,closed_loop,16,taps_domain_v4,0.0920240385470597,42.90789850882013,29.691593070724586,112.47741597941513,220.67695700664106,467.67929015759125,196.1728394330453,0.4513732087207388,0.21261030085904956,0.9846232774110317,32435830784.0,1.0,175,10583121920,0,0,19452,1245577,32,32,0,0.046956610679626476,3.7432076930999756,32.105082321167,taps_domain_v4,taps_unified_v5,taps_domain_v4,112.47741597941513,0.10832332093410578,467.67929015759125,-0.058179775159857006,-0.12785472253680974,-0.008261418275482308,0.024255824802028036,,,,,
32,8,2,closed_loop,16,taps_admission_v4,0.10764785540803001,43.586200160355936,30.797260918651556,114.2991522924556,225.59933290910925,489.53849024084343,146.7111263720262,0.5277489662983162,0.24870722135747866,0.9870587946995681,30159904768.0,1.0,283,10583121920,0,0,16371,1248658,32,32,0,0.046956610679626476,3.7432076930999756,32.105082321167,taps_domain_v4,taps_unified_v5,taps_domain_v4,112.47741597941513,0.10832332093410578,467.67929015759125,-0.058179775159857006,-0.12785472253680974,-0.008261418275482308,0.024255824802028036,,,,,
32,8,2,closed_loop,16,taps_unified_v5,0.10832332093410578,43.77426647213427,32.6729160200252,121.23025136222475,239.1710149967249,495.5336080987104,145.84136220192437,0.5310994053074517,0.2502678019512704,0.9870587946995681,34760728576.0,1.0,273,10583121920,0,0,16371,1248658,32,32,0,0.046956610679626476,3.7432076930999756,32.105082321167,taps_domain_v4,taps_unified_v5,taps_domain_v4,112.47741597941513,0.10832332093410578,467.67929015759125,-0.058179775159857006,-0.12785472253680974,-0.008261418275482308,0.024255824802028036,,,,,
32,8,2,closed_loop,16,taps_unified_adaptive_v6,0.10742841667087982,42.549868661769324,29.296689807170644,126.85818479112058,242.31912133641032,456.3353432319919,147.679814539696,0.5267412045729064,0.24820023495846547,0.9870587946995681,38267715584.0,1.0,267,10583121920,0,0,16371,1248658,32,32,0,0.046956610679626476,3.7432076930999756,73.92709851264954,taps_domain_v4,taps_unified_v5,taps_domain_v4,112.47741597941513,0.10832332093410578,467.67929015759125,-0.058179775159857006,-0.12785472253680974,-0.008261418275482308,0.024255824802028036,"{""ADMISSION_STARVED"": 547, ""BALANCED"": 288, ""DOMAIN_HOT"": 2333, ""TAIL_RISK"": 135}","{""admission_starved"": 547, ""balanced"": 288, ""domain_hot"": 2333, ""tail_risk"": 135}","{""ADMISSION_STARVED->DOMAIN_HOT"": 39, ""ADMISSION_STARVED->TAIL_RISK"": 2, ""BALANCED->DOMAIN_HOT"": 2, ""DOMAIN_HOT->ADMISSION_STARVED"": 38, ""DOMAIN_HOT->BALANCED"": 1, ""DOMAIN_HOT->TAIL_RISK"": 7, ""TAIL_RISK->ADMISSION_STARVED"": 3, ""TAIL_RISK->DOMAIN_HOT"": 5}",97,"{""ADMISSION_STARVED:admit"": 303, ""ADMISSION_STARVED:admit_score"": 222, ""ADMISSION_STARVED:schedule_score"": 22, ""BALANCED:admit"": 34, ""BALANCED:admit_score"": 228, ""BALANCED:schedule_score"": 26, ""DOMAIN_HOT:admit"": 1363, ""DOMAIN_HOT:admit_score"": 78, ""DOMAIN_HOT:schedule_score"": 892, ""TAIL_RISK:admit"": 68, ""TAIL_RISK:schedule_score"": 67}"
32,16,4,bursty,32,reactive_admission,0.10365821696073345,50.91956109106033,40.555221018739644,120.62714918087454,227.1812872305734,644.1031681525033,220.87499351957166,0.31896447697804037,0.11974482451812771,0.9691880581393786,88334647296.0,1.0,228,10583121920,0,0,38978,1226051,32,32,0,0.046956610679626476,3.7432076930999756,32.105082321167,taps_domain_v4,taps_admission_v4,taps_domain_v4,107.7079403189993,0.11665955936126984,584.7966082649762,-0.10644791928820954,-0.23916266363979347,-0.015624578458476932,-0.05543938583143844,,,,,
32,16,4,bursty,32,acd_nisp,0.10365821696073345,50.91956109106033,40.555221018739644,120.62714918087454,227.1812872305734,644.1031681525033,220.87499351957166,0.31896447697804037,0.11974482451812771,0.9691880581393786,88334647296.0,1.0,228,10583121920,0,0,38978,1226051,32,32,0,0.046956610679626476,3.7432076930999756,32.105082321167,taps_domain_v4,taps_admission_v4,taps_domain_v4,107.7079403189993,0.11665955936126984,584.7966082649762,-0.10644791928820954,-0.23916266363979347,-0.015624578458476932,-0.05543938583143844,,,,,
