config_id,w_l,w_r,w_c,w_a,w_s,lambda_s,lambda_n,tau,prefetch_window,memory_budget_bytes,noc_budget_bytes,objective,mean_ratio_vs_acd_nisp,p95_ratio_vs_acd_nisp,mean_gain_vs_acd_nisp,p95_gain_vs_acd_nisp,mean_jct,p95_jct,completed_sessions,expected_sessions,no_starvation,split
42,1.0,1.0,0,0.01,0,0,0.5,30,5.0,68719476736.0,137438953472.0,1.1271154510649104,0.8120109999394174,1.0459143510709688,0.1879890000605826,-0.04591435107096875,39.63732260721762,92.61237738958151,48,48,True,train
43,1.0,1.0,0,0.1,0.5,0.1,0.5,10,5.0,68719476736.0,137438953472.0,1.1595889309433767,0.8539639592365393,1.0741925350197228,0.14603604076346066,-0.07419253501972278,41.89570833577766,95.93413613189313,48,48,True,train
44,1.0,1.0,0.5,0.05,1.0,0.5,0.5,5,5.0,68719476736.0,137438953472.0,1.165859194320269,0.7907932342631827,1.0867798708939507,0.2092067657368173,-0.08677987089395067,38.322453022137125,97.2322232070187,48,48,True,train
45,1.0,1.0,1.0,0.05,0.5,0,0.5,1,5.0,68719476736.0,137438953472.0,1.1820740605911055,0.8058052875784635,1.1014935318332593,0.19419471242153652,-0.10149353183325927,39.100454234470774,98.13782263846743,48,48,True,train
46,1.0,2.0,0,0.01,1.0,0.1,0.1,30,5.0,68719476736.0,137438953472.0,1.1455190920081597,0.7618483555610669,1.069334256452053,0.2381516444389331,-0.06933425645205293,36.69278689031444,95.76262963562556,48,48,True,train
47,1.0,2.0,0.5,0.01,0,0.5,0.1,10,5.0,68719476736.0,137438953472.0,1.1436832487778121,0.8031742183077085,1.0633658269470412,0.19682578169229148,-0.06336582694704118,39.15972990726937,94.25824631418854,48,48,True,train
48,1.0,2.0,0.5,0.1,1.0,0,0.1,5,5.0,68719476736.0,137438953472.0,1.1559493500943911,0.8175252554469273,1.0741968245496984,0.18247474455307267,-0.07419682454969845,39.79656759290024,96.06870917227198,48,48,True,train
49,1.0,2.0,1.0,0.1,0,0.1,0.1,1,5.0,68719476736.0,137438953472.0,1.126438593475123,0.9302173419210384,1.0334168592830193,0.06978265807896156,-0.033416859283019296,45.862724520031975,91.78661638448212,48,48,True,train
50,2.0,0,0,0.05,0.5,0.5,0,30,5.0,68719476736.0,137438953472.0,1.1717624150301358,0.7927793456152932,1.0924844804686065,0.20722065438470683,-0.09248448046860647,38.56124927499107,97.7366779644301,48,48,True,train
51,2.0,0,0.5,0.05,0,0,0,10,5.0,68719476736.0,137438953472.0,1.1118983294803988,0.8503056105869117,1.0268677684217076,0.14969438941308832,-0.026867768421707572,41.71666498845751,90.92075046491554,48,48,True,train
52,2.0,0,1.0,0.01,0.5,0.1,0,5,5.0,68719476736.0,137438953472.0,1.1522217397377879,0.7521471446579235,1.0770070252719954,0.24785285534207646,-0.07700702527199543,36.29486062956323,96.41792860319407,48,48,True,train
53,2.0,0,1.0,0.1,1.0,0.5,0,1,5.0,68719476736.0,137438953472.0,1.170052606097486,0.8031264427115685,1.0897399618263293,0.19687355728843148,-0.08973996182632926,39.055000829417665,97.31300788617207,48,48,True,train
54,2.0,0.5,0,0.1,0,0.5,0.5,30,5.0,68719476736.0,137438953472.0,1.1240534082305487,0.9206965314509821,1.0319837550854505,0.07930346854901793,-0.03198375508545048,45.35851065559041,91.65255742368856,48,48,True,train
55,2.0,0.5,0.5,0.05,1.0,0,0.5,10,5.0,68719476736.0,137438953472.0,1.165770589540734,0.7832010454816115,1.0874504849925728,0.2167989545183885,-0.0874504849925728,37.979428031260994,97.31961226320257,48,48,True,train
56,2.0,0.5,1.0,0.05,0,0.1,0.5,5,5.0,68719476736.0,137438953472.0,1.125146864271971,0.8479571460659594,1.0403511496653752,0.1520428539340406,-0.04035114966537523,41.527264123730085,92.01845325930464,48,48,True,train
57,2.0,1.0,0,0.01,0.5,0.5,0.5,1,5.0,68719476736.0,137438953472.0,1.1646632941242563,0.754408763409075,1.0892224177833487,0.24559123659092497,-0.08922241778334872,36.37556772179612,97.4796727219221,48,48,True,train
58,2.0,1.0,0.5,0.01,0,0,0.1,30,5.0,68719476736.0,137438953472.0,1.1155646801556256,0.7824122206033342,1.0373234580952921,0.21758777939666585,-0.03732345809529214,37.91651173184779,91.81999419669674,48,48,True,train
59,2.0,1.0,0.5,0.1,0.5,0.1,0.1,10,5.0,68719476736.0,137438953472.0,1.1734975291141012,0.8318742150108225,1.090310107613019,0.16812578498917752,-0.09031010761301905,40.661728580236634,97.3367769204765,48,48,True,train
60,2.0,1.0,1.0,0.05,1.0,0.5,0.1,5,5.0,68719476736.0,137438953472.0,1.165937476086211,0.7835815598905933,1.0875793200971515,0.2164184401094067,-0.08757932009715153,37.94379115422547,97.2918887238442,48,48,True,train
61,2.0,2.0,0,0.05,0.5,0,0.1,1,5.0,68719476736.0,137438953472.0,1.1739880141273067,0.7924901667063818,1.0947389974566686,0.20750983329361816,-0.09473899745666858,38.50940630534788,97.95197247075873,48,48,True,train
62,2.0,2.0,0.5,0.01,1.0,0.1,0,30,5.0,68719476736.0,137438953472.0,1.1304315509095713,0.7550698184084118,1.0549245690687301,0.2449301815915882,-0.05492456906873011,36.40142659782791,94.57253508832284,48,48,True,train
63,2.0,2.0,1.0,0.1,1.0,0.5,0.5,30,5.0,68719476736.0,137438953472.0,1.1700573205601446,0.8025283471596589,1.0898044858441787,0.19747165284034107,-0.08980448584417866,39.018043878068184,97.31984191531961,48,48,True,train
