config_id,total_sessions,active_session_limit,effective_regions,arrival_pattern,memory_budget_gb,policy,throughput,mean_jct,p50_jct,p95_jct,p99_jct,ready_queue_wait,region_utilization,domain_cache_hit_rate,blocked_session_fraction,remote_kv_bytes,memory_occupancy,starvation_count,completed_sessions,replicates,throughput_std,mean_jct_std,p95_jct_std,p99_jct_std,ready_queue_wait_std,completed_sessions_mean,starvation_count_mean,validity,invalid_reason
aligned_v9_stratified:ts128:al32:er16:arrclosed_loop:mem64,128,32,16,closed_loop,64,taps_unified_v5,0.3347707814582601,61.029922974154026,52.55769633783891,117.25060718840365,286.9918677626332,2047.023543712828,0.6237847430786452,0.9920041169143398,0.15927188857453375,1376907370496.0,16559915008.0,0,128,1,0.0,0.0,0.0,0.0,0.0,128.0,0.0,true,
aligned_v9_stratified:ts128:al32:er16:arrclosed_loop:mem64,128,32,16,closed_loop,64,taps_unified_adaptive_v6,0.3337657205916682,60.93362940927046,52.692297969988005,115.92967259853611,282.42078645777286,2035.5047000029338,0.6217805196577368,0.9920041169143398,0.1587937167888805,1215560851456.0,16559915008.0,0,128,1,0.0,0.0,0.0,0.0,0.0,128.0,0.0,true,
aligned_v9_stratified:ts128:al32:er1:arrclosed_loop:mem8,128,32,1,closed_loop,8,reactive_admission,0.09843254805211826,225.3695863902151,234.05891571154274,294.78522257916757,435.02966350264984,25776.526849658218,0.8628618953078363,0.9859130251032602,0.04683066352796121,0.0,8573444096.0,0,128,1,0.0,0.0,0.0,0.0,0.0,128.0,0.0,true,
aligned_v9_stratified:ts128:al32:er1:arrclosed_loop:mem8,128,32,1,closed_loop,8,acd_nisp,0.09843254805211826,225.3695863902151,234.05891571154274,294.78522257916757,435.02966350264984,25776.526849658218,0.8628618953078363,0.9859130251032602,0.04683066352796121,0.0,8573444096.0,0,128,1,0.0,0.0,0.0,0.0,0.0,128.0,0.0,true,
aligned_v9_stratified:ts128:al32:er1:arrclosed_loop:mem8,128,32,1,closed_loop,8,taps_domain_v4,0.11269087724423373,179.26421359055678,160.95610732256853,345.23690429582655,514.6696802842233,19876.345660839896,0.9867004593436217,0.9917786117749428,0.0536142633644027,0.0,8589729792.0,71,128,1,0.0,0.0,0.0,0.0,0.0,128.0,71.0,false,starvation
aligned_v9_stratified:ts128:al32:er1:arrclosed_loop:mem8,128,32,1,closed_loop,8,taps_admission_v4,0.11422367483120482,226.46666968086564,216.4912387983618,313.19708818904144,441.39707230750923,25918.592292371395,0.9998248587478343,0.9932490384492395,0.05434351328703915,0.0,8588984320.0,0,128,1,0.0,0.0,0.0,0.0,0.0,128.0,0.0,true,
aligned_v9_stratified:ts128:al32:er1:arrclosed_loop:mem8,128,32,1,closed_loop,8,taps_unified_v5,0.08294679221782292,281.2396177686563,286.50965573331024,328.77933217859413,377.3722592924953,8336.8805858587,0.807881142745446,0.9809783725185918,0.028441283362671762,0.0,8470282240.0,102,32,1,0.0,0.0,0.0,0.0,0.0,32.0,102.0,false,incomplete_sessions;starvation
aligned_v9_stratified:ts128:al32:er1:arrclosed_loop:mem8,128,32,1,closed_loop,8,taps_unified_adaptive_v6,0.10040394733129986,296.51147117826633,294.92581476400056,310.9834286960561,316.73634667379304,8825.579894966218,0.9779094951996815,0.9809783725185918,0.03442709525500709,0.0,8470282240.0,101,32,1,0.0,0.0,0.0,0.0,0.0,32.0,101.0,false,incomplete_sessions;starvation
aligned_v9_stratified:ts32:al8:er1:arrclosed_loop:mem16,32,8,1,closed_loop,16,reactive_admission,0.07213566500712233,57.70915055913049,45.07297271533554,142.33789595839266,237.69816951659917,990.9287055518207,0.5958121472948105,0.9870587946995681,0.1666606430447941,0.0,10583121920.0,0,32,1,0.0,0.0,0.0,0.0,0.0,32.0,0.0,true,
aligned_v9_stratified:ts32:al8:er1:arrclosed_loop:mem16,32,8,1,closed_loop,16,acd_nisp,0.07213566500712233,57.70915055913049,45.07297271533554,142.33789595839266,237.69816951659917,990.9287055518207,0.5958121472948105,0.9870587946995681,0.1666606430447941,0.0,10583121920.0,0,32,1,0.0,0.0,0.0,0.0,0.0,32.0,0.0,true,
aligned_v9_stratified:ts32:al8:er1:arrclosed_loop:mem16,32,8,1,closed_loop,16,taps_domain_v4,0.07635631785202202,56.98327123566229,44.39156807517436,117.89206120578893,229.4580645098081,967.7005672008383,0.6306730754398182,0.9870587946995681,0.17641194591460707,0.0,10583121920.0,0,32,1,0.0,0.0,0.0,0.0,0.0,32.0,0.0,true,
