row_type,policy,event_id,actual_tool_class,actual_safe,predicted_top3,launched,tool_latency,tool_latency_hidden,wasted_speculative_work,speculation_hit,safety_violation,simulated_tool_jct,events,mean_jct,p95_jct,mean_jct_gain,p95_jct_gain,speculation_hit_rate,safe_coverage,cost_overhead,safety_violations,stp_gain
event,stp_top1,django__django-11848:b0:tool5,shell_other,false,"[""grep_search"", ""shell_other"", ""list_find""]","[""grep_search""]",0.26338672637939453,0.0,0.34839677810668945,false,0,0.26338672637939453,,,,,,,,,,
event,stp_top3_budgeted,django__django-11848:b0:tool5,shell_other,false,"[""grep_search"", ""shell_other"", ""list_find""]","[""grep_search""]",0.26338672637939453,0.0,0.34839677810668945,false,0,0.26338672637939453,,,,,,,,,,
event,stp_oracle_upper_bound,django__django-11848:b0:tool5,shell_other,false,"[""grep_search"", ""shell_other"", ""list_find""]",[],0.26338672637939453,0.0,0,false,0,0.26338672637939453,,,,,,,,,,
event,no_stp,django__django-11848:b0:tool7,file_read,true,"[""shell_other"", ""file_read"", ""list_find""]",[],0.25392818450927734,0.0,0,false,0,0.25392818450927734,,,,,,,,,,
event,stp_top1,django__django-11848:b0:tool7,file_read,true,"[""shell_other"", ""file_read"", ""list_find""]","[""shell_other""]",0.25392818450927734,0.0,0.24907588958740234,false,0,0.25392818450927734,,,,,,,,,,
event,stp_top3_budgeted,django__django-11848:b0:tool7,file_read,true,"[""shell_other"", ""file_read"", ""list_find""]","[""shell_other""]",0.25392818450927734,0.0,0.24907588958740234,false,0,0.25392818450927734,,,,,,,,,,
event,stp_oracle_upper_bound,django__django-11848:b0:tool7,file_read,true,"[""shell_other"", ""file_read"", ""list_find""]","[""file_read""]",0.25392818450927734,0.25392818450927734,0.0,true,0,0.0,,,,,,,,,,
event,no_stp,django__django-11848:b1:tool3,file_read,true,"[""shell_other"", ""file_read"", ""list_find""]",[],0.2432255744934082,0.0,0,false,0,0.2432255744934082,,,,,,,,,,
event,stp_top1,django__django-11848:b1:tool3,file_read,true,"[""shell_other"", ""file_read"", ""list_find""]","[""shell_other""]",0.2432255744934082,0.0,0.24907588958740234,false,0,0.2432255744934082,,,,,,,,,,
event,stp_top3_budgeted,django__django-11848:b1:tool3,file_read,true,"[""shell_other"", ""file_read"", ""list_find""]","[""shell_other""]",0.2432255744934082,0.0,0.24907588958740234,false,0,0.2432255744934082,,,,,,,,,,
event,stp_oracle_upper_bound,django__django-11848:b1:tool3,file_read,true,"[""shell_other"", ""file_read"", ""list_find""]","[""file_read""]",0.2432255744934082,0.2432255744934082,0.0,true,0,0.0,,,,,,,,,,
event,no_stp,django__django-11848:b1:tool6,test,false,"[""list_find"", ""shell_other"", ""file_read""]",[],4.843150854110718,0.0,0,false,0,4.843150854110718,,,,,,,,,,
