objective,policy_a,policy_b,train_pairs,median_abs_error,p95_abs_error,split_type
p95_opt,reactive_admission,taps_admission_v4,211,5.903739409690023,21.61309093168377,leave_arrival_poisson
throughput_opt,reactive_admission,taps_admission_v4,211,0.013079700177405937,0.026889756774492565,leave_arrival_poisson
balanced,reactive_admission,taps_admission_v4,211,0.06065380157582964,0.2611948289687651,leave_arrival_poisson
p95_opt,reactive_admission,taps_unified_v5,107,2.962779019820843,10.899457909204855,leave_arrival_poisson
throughput_opt,reactive_admission,taps_unified_v5,107,0.014022601577758179,0.027210170063622877,leave_arrival_poisson
balanced,reactive_admission,taps_unified_v5,107,0.03611744992366908,0.12582599324826652,leave_arrival_poisson
p95_opt,reactive_admission,taps_unified_adaptive_v6,106,3.050466097933125,13.033438507730285,leave_arrival_poisson
throughput_opt,reactive_admission,taps_unified_adaptive_v6,106,0.013113724622510831,0.02585317859400608,leave_arrival_poisson
balanced,reactive_admission,taps_unified_adaptive_v6,106,0.029254198340228417,0.10188840296497119,leave_arrival_poisson
p95_opt,acd_nisp,taps_domain_v4,131,3.686252732335575,18.49855076997752,leave_arrival_poisson
throughput_opt,acd_nisp,taps_domain_v4,131,0.000708314839353949,0.008152272049509298,leave_arrival_poisson
balanced,acd_nisp,taps_domain_v4,131,0.03775420863761555,0.18650314637004806,leave_arrival_poisson
p95_opt,acd_nisp,taps_admission_v4,211,5.903739409690023,21.61309093168377,leave_arrival_poisson
throughput_opt,acd_nisp,taps_admission_v4,211,0.013079700177405937,0.026889756774492565,leave_arrival_poisson
balanced,acd_nisp,taps_admission_v4,211,0.06065380157582964,0.2611948289687651,leave_arrival_poisson
p95_opt,acd_nisp,taps_unified_v5,107,2.962779019820843,10.899457909204855,leave_arrival_poisson
throughput_opt,acd_nisp,taps_unified_v5,107,0.014022601577758179,0.027210170063622877,leave_arrival_poisson
balanced,acd_nisp,taps_unified_v5,107,0.03611744992366908,0.12582599324826652,leave_arrival_poisson
p95_opt,acd_nisp,taps_unified_adaptive_v6,106,3.050466097933125,13.033438507730285,leave_arrival_poisson
throughput_opt,acd_nisp,taps_unified_adaptive_v6,106,0.013113724622510831,0.02585317859400608,leave_arrival_poisson
balanced,acd_nisp,taps_unified_adaptive_v6,106,0.029254198340228417,0.10188840296497119,leave_arrival_poisson
p95_opt,taps_domain_v4,taps_admission_v4,131,3.6700676481125303,21.691806346367333,leave_arrival_poisson
throughput_opt,taps_domain_v4,taps_admission_v4,131,0.013554096596651,0.025867297303928092,leave_arrival_poisson
balanced,taps_domain_v4,taps_admission_v4,131,0.05009761057669597,0.19049368424994617,leave_arrival_poisson
p95_opt,taps_domain_v4,taps_unified_v5,85,3.8869295783425564,17.39767540661368,leave_arrival_poisson
throughput_opt,taps_domain_v4,taps_unified_v5,85,0.01499955173044578,0.02500406296185024,leave_arrival_poisson
balanced,taps_domain_v4,taps_unified_v5,85,0.049542985758683544,0.1594413847523791,leave_arrival_poisson
p95_opt,taps_domain_v4,taps_unified_adaptive_v6,85,4.247387167010836,24.197668068964873,leave_arrival_poisson
throughput_opt,taps_domain_v4,taps_unified_adaptive_v6,85,0.015589444548054596,0.02406108930284062,leave_arrival_poisson
balanced,taps_domain_v4,taps_unified_adaptive_v6,85,0.05329355938617031,0.22517697310598586,leave_arrival_poisson
p95_opt,taps_admission_v4,taps_unified_v5,107,2.906620000707149,13.139251919188043,leave_arrival_poisson
throughput_opt,taps_admission_v4,taps_unified_v5,107,0.0008225030259563493,0.0056350330455641525,leave_arrival_poisson
balanced,taps_admission_v4,taps_unified_v5,107,0.028261231646994026,0.13479185862796234,leave_arrival_poisson
p95_opt,taps_admission_v4,taps_unified_adaptive_v6,106,1.676561214736181,14.556586071344373,leave_arrival_poisson
throughput_opt,taps_admission_v4,taps_unified_adaptive_v6,106,0.0008368631687942277,0.0049815484048693634,leave_arrival_poisson
balanced,taps_admission_v4,taps_unified_adaptive_v6,106,0.01831413444718971,0.14538017146350768,leave_arrival_poisson
p95_opt,taps_unified_v5,taps_unified_adaptive_v6,103,1.886241031626212,9.885833199567232,leave_arrival_poisson
throughput_opt,taps_unified_v5,taps_unified_adaptive_v6,103,0.000684205643363807,0.004636674888747358,leave_arrival_poisson
balanced,taps_unified_v5,taps_unified_adaptive_v6,103,0.019787125562228502,0.09719374987670117,leave_arrival_poisson
p95_opt,reactive_admission,acd_nisp,298,1.0,0.0,leave_session_16
throughput_opt,reactive_admission,acd_nisp,298,1.0,0.0,leave_session_16
balanced,reactive_admission,acd_nisp,298,1.0,0.0,leave_session_16
p95_opt,reactive_admission,taps_domain_v4,181,4.398673813746246,17.117576744752878,leave_session_16
