instance_id,budget_policy,max_active_branches,max_steps_per_branch,time_to_first_nonempty_patch,tokens_to_first_nonempty_patch,cost_to_first_nonempty_patch,duplicate_patch_rate,branches_pruned,official_success_if_available,verifier_unknown_count,total_tokens_used,total_tool_time,model_side_time,selected_branches,patch_nonempty_selected
django__django-11999,fcfs_budget,1,10,,,,0.0,3,unknown,1,53248,1.786825180053711,9.95101543273017,1,0
django__django-11999,fcfs_budget,1,15,,,,0.0,3,unknown,1,53248,1.786825180053711,9.95101543273017,1,0
django__django-11999,fcfs_budget,2,5,,,,0.0,2,unknown,2,68992,2.0711950063705444,12.624221213379936,2,1
django__django-11999,fcfs_budget,2,10,,,,0.0,2,unknown,2,137985,4.142390012741089,25.248442426759873,2,1
django__django-11999,fcfs_budget,2,15,,,,0.0,2,unknown,2,137985,4.142390012741089,25.248442426759873,2,1
django__django-11999,fcfs_budget,4,5,,,,0.0,0,unknown,4,91415,6.166799426078796,23.305093349257035,4,1
django__django-11999,fcfs_budget,4,10,,,,0.0,0,unknown,4,182833,12.333598852157593,46.61018669851407,4,1
django__django-11999,fcfs_budget,4,15,,,,0.0,0,unknown,4,182833,12.333598852157593,46.61018669851407,4,1
django__django-11999,pabb_budget,1,5,,,,0.0,3,unknown,1,42368,1.177782416343689,7.648713497014852,1,1
django__django-11999,pabb_budget,1,10,,,,0.0,3,unknown,1,84737,2.355564832687378,15.297426994029705,1,1
django__django-11999,pabb_budget,1,15,,,,0.0,3,unknown,1,84737,2.355564832687378,15.297426994029705,1,1
django__django-11999,pabb_budget,2,5,,,,0.0,2,unknown,2,53882,2.677093982696533,13.359086065241936,2,1
django__django-11999,pabb_budget,2,10,,,,0.0,2,unknown,2,107766,5.354187965393066,26.71817213048387,2,1
django__django-11999,pabb_budget,2,15,,,,0.0,2,unknown,2,107766,5.354187965393066,26.71817213048387,2,1
django__django-11999,pabb_budget,4,5,,,,0.0,0,unknown,4,91415,6.166799426078796,23.305093349257035,4,1
django__django-11999,pabb_budget,4,10,,,,0.0,0,unknown,4,182833,12.333598852157593,46.61018669851407,4,1
django__django-11999,pabb_budget,4,15,,,,0.0,0,unknown,4,182833,12.333598852157593,46.61018669851407,4,1
django__django-12125,launch_all,1,5,,,,0.0,0,unknown,4,66871,136.94056224822998,22.04580920508371,4,0
django__django-12125,launch_all,1,10,,,,0.0,0,unknown,4,133745,273.88112449645996,44.09161841016742,4,0
django__django-12125,launch_all,1,15,,,,0.0,0,unknown,4,133745,273.88112449645996,44.09161841016742,4,0
django__django-12125,launch_all,2,5,,,,0.0,0,unknown,4,66871,136.94056224822998,22.04580920508371,4,0
django__django-12125,launch_all,2,10,,,,0.0,0,unknown,4,133745,273.88112449645996,44.09161841016742,4,0
django__django-12125,launch_all,2,15,,,,0.0,0,unknown,4,133745,273.88112449645996,44.09161841016742,4,0
django__django-12125,launch_all,4,5,,,,0.0,0,unknown,4,66871,136.94056224822998,22.04580920508371,4,0
django__django-12125,launch_all,4,10,,,,0.0,0,unknown,4,133745,273.88112449645996,44.09161841016742,4,0
django__django-12125,launch_all,4,15,,,,0.0,0,unknown,4,133745,273.88112449645996,44.09161841016742,4,0
django__django-12125,fcfs_budget,1,5,,,,0.0,3,unknown,1,20654,1.2735693454742432,5.351846307169,1,0
django__django-12125,fcfs_budget,1,10,,,,0.0,3,unknown,1,41308,2.5471386909484863,10.703692614338,1,0
django__django-12125,fcfs_budget,1,15,,,,0.0,3,unknown,1,41308,2.5471386909484863,10.703692614338,1,0
django__django-12125,fcfs_budget,2,5,,,,0.0,2,unknown,2,38711,3.1246405839920044,13.651577905017577,2,0
django__django-12125,fcfs_budget,2,10,,,,0.0,2,unknown,2,77423,6.249281167984009,27.303155810035154,2,0
django__django-12125,fcfs_budget,2,15,,,,0.0,2,unknown,2,77423,6.249281167984009,27.303155810035154,2,0
django__django-12125,fcfs_budget,4,5,,,,0.0,0,unknown,4,66871,136.94056224822998,22.04580920508371,4,0
django__django-12125,fcfs_budget,4,10,,,,0.0,0,unknown,4,133745,273.88112449645996,44.09161841016742,4,0
django__django-12125,fcfs_budget,4,15,,,,0.0,0,unknown,4,133745,273.88112449645996,44.09161841016742,4,0
django__django-12125,pabb_budget,1,5,,,,0.0,3,unknown,1,15193,11.983713269233704,3.5357945482748323,1,0
django__django-12125,pabb_budget,1,10,,,,0.0,3,unknown,1,30387,23.967426538467407,7.071589096549665,1,0
django__django-12125,pabb_budget,1,15,,,,0.0,3,unknown,1,30387,23.967426538467407,7.071589096549665,1,0
django__django-12125,pabb_budget,2,5,,,,0.0,2,unknown,2,33250,13.834784507751465,11.83552614612341,2,0
django__django-12125,pabb_budget,2,10,,,,0.0,2,unknown,2,66502,27.66956901550293,23.67105229224682,2,0
django__django-12125,pabb_budget,2,15,,,,0.0,2,unknown,2,66502,27.66956901550293,23.67105229224682,2,0
django__django-12125,pabb_budget,4,5,,,,0.0,0,unknown,4,66871,136.94056224822998,22.04580920508371,4,0
django__django-12125,pabb_budget,4,10,,,,0.0,0,unknown,4,133745,273.88112449645996,44.09161841016742,4,0
django__django-12125,pabb_budget,4,15,,,,0.0,0,unknown,4,133745,273.88112449645996,44.09161841016742,4,0
django__django-12308,launch_all,1,5,,,,0.0,0,fail,4,95875,30.29526600572798,25.20711423735853,5,1
django__django-12308,launch_all,1,10,,,,0.0,0,fail,4,188878,60.32946642239889,49.65949009618592,5,1
django__django-12308,launch_all,1,15,33.17480278015137,62977,34.423469253299515,0.0,0,fail,4,209871,63.10392117500305,58.35952509468159,5,1
django__django-12308,launch_all,2,5,,,,0.0,0,fail,4,95875,30.29526600572798,25.20711423735853,5,1
django__django-12308,launch_all,2,10,,,,0.0,0,fail,4,188878,60.32946642239889,49.65949009618592,5,1
django__django-12308,launch_all,2,15,33.17480278015137,62977,34.423469253299515,0.0,0,fail,4,209871,63.10392117500305,58.35952509468159,5,1
django__django-12308,launch_all,4,5,,,,0.0,0,fail,4,95875,30.29526600572798,25.20711423735853,5,1
django__django-12308,launch_all,4,10,,,,0.0,0,fail,4,188878,60.32946642239889,49.65949009618592,5,1
django__django-12308,launch_all,4,15,33.17480278015137,62977,34.423469253299515,0.0,0,fail,4,209871,63.10392117500305,58.35952509468159,5,1
django__django-12308,fcfs_budget,1,5,,,,0.0,4,unknown,1,14378,1.3053279452853732,3.7736918926557315,1,0
django__django-12308,fcfs_budget,1,10,,,,0.0,4,unknown,1,25882,2.349590301513672,6.792645406780316,1,0
