mode,shared_prefix_tokens_target,shared_prefix_tokens_actual,unique_suffix_tokens_target,unique_suffix_tokens_actual,num_requests,output_tokens,repeat,total_e2e_latency,per_request_latency_mean,prefix_token_ids_exact_match,client_repeated_prefix_tokens,num_success,num_failed,status,error,prefix_cache_queries_delta,prefix_cache_hits_delta,prompt_tokens_delta,cached_prompt_tokens_delta,generation_tokens_delta,num_requests_running_delta,num_requests_waiting_delta,gpu_kv_cache_usage_delta,request_queue_time_delta,request_prefill_time_delta,request_decode_time_delta,ttft_delta,tpot_delta,e2e_latency_delta,metrics_error
prefix,1024,1036,1024,1032,8,128,2,1.4044520854949951,1.3602812588214874,True,7168,8,0,ok,,16776.0,16768.0,67152.0,16768.0,3216.0,0.0,0.0,0.0,184.00032782554626,184.15957832336426,161.5180766582489,136.72566723823547,168.0749454498291,310.8490171432495,
prefix,4096,4108,256,264,2,128,0,1.2614364624023438,1.2468626499176025,True,4096,2,0,ok,,8802.0,8800.0,35220.0,8800.0,804.0,0.0,0.0,0.0,46.000224590301514,46.032124280929565,40.301671743392944,36.1407516002655,42.018123388290405,77.33792209625244,
prefix,4096,4108,256,264,2,128,1,1.2612426280975342,1.2492882013320923,True,4096,2,0,ok,,8802.0,8800.0,35220.0,8800.0,804.0,0.0,0.0,0.0,46.00001835823059,46.032163858413696,40.31450843811035,36.143590211868286,42.018224477767944,77.38555145263672,
prefix,4096,4108,256,264,2,128,2,1.270427942276001,1.2568598985671997,True,4096,2,0,ok,,8802.0,8800.0,35220.0,8800.0,804.0,0.0,0.0,0.0,46.000027656555176,46.03229570388794,40.32535791397095,36.143275022506714,42.01830983161926,77.41616630554199,
prefix,4096,4108,256,264,4,128,0,1.3396327495574951,1.3130704760551453,True,12288,4,0,ok,,17604.0,17600.0,70440.0,17600.0,1608.0,0.0,0.0,0.0,92.0000467300415,92.07299494743347,80.69943451881409,68.39228081703186,84.03700351715088,155.30962467193604,
prefix,4096,4108,256,264,4,128,1,1.3429145812988281,1.3167918920516968,True,12288,4,0,ok,,17604.0,17600.0,70440.0,17600.0,1608.0,0.0,0.0,0.0,92.00010180473328,92.07526278495789,80.69401907920837,65.41334581375122,84.03696060180664,155.35627460479736,
prefix,4096,4108,256,264,4,128,2,1.355198621749878,1.3225006461143494,True,12288,4,0,ok,,17604.0,17600.0,70440.0,17600.0,1608.0,0.0,0.0,0.0,92.00007915496826,92.07534742355347,80.71526861190796,65.40309166908264,84.03712821006775,155.38711833953857,
prefix,4096,4108,256,264,8,128,0,1.4923810958862305,1.4391968548297882,True,28672,8,0,ok,,35208.0,35200.0,140880.0,35200.0,3216.0,0.0,0.0,0.0,184.0003604888916,184.20485663414001,161.76400589942932,129.07551336288452,168.07688188552856,312.6398696899414,
prefix,4096,4108,256,264,8,128,1,1.495901107788086,1.4370753467082977,True,28672,8,0,ok,,35208.0,35200.0,140880.0,35200.0,3216.0,0.0,0.0,0.0,184.00028777122498,184.20036506652832,161.7644956111908,129.0807285308838,168.0768859386444,312.59076595306396,
prefix,4096,4108,256,264,8,128,2,1.4905791282653809,1.4372074007987976,True,28672,8,0,ok,,35208.0,35200.0,140880.0,35200.0,3216.0,0.0,0.0,0.0,184.00015234947205,184.15893268585205,161.8200397491455,128.99520015716553,168.0773229598999,312.5814151763916,
prefix,4096,4109,512,520,2,128,0,1.245006799697876,1.2326970100402832,True,4096,2,0,ok,,9316.0,9312.0,37270.0,9312.0,804.0,0.0,0.0,0.0,46.00001263618469,46.0303008556366,40.30667757987976,37.11652183532715,42.018162965774536,77.27970695495605,
prefix,4096,4109,512,520,2,128,1,1.269697904586792,1.2575205564498901,True,4096,2,0,ok,,9316.0,9312.0,37270.0,9312.0,804.0,0.0,0.0,0.0,46.00001263618469,46.030426025390625,40.33390712738037,36.140477657318115,42.01837706565857,77.43394470214844,
prefix,4096,4109,512,520,2,128,2,1.2760322093963623,1.2635674476623535,True,4096,2,0,ok,,9316.0,9312.0,37270.0,9312.0,804.0,0.0,0.0,0.0,46.00001859664917,46.029863595962524,40.33679461479187,36.14922308921814,42.01839995384216,77.46902465820312,
prefix,4096,4109,512,520,4,128,0,1.343937635421753,1.3164772987365723,True,12288,4,0,ok,,18632.0,18624.0,74540.0,18624.0,1608.0,0.0,0.0,0.0,92.00008225440979,92.09269714355469,80.66959190368652,64.4381091594696,84.03676843643188,155.342435836792,
prefix,4096,4109,512,520,4,128,1,1.338615894317627,1.311244547367096,True,12288,4,0,ok,,18632.0,18624.0,74540.0,18624.0,1608.0,0.0,0.0,0.0,92.0000901222229,92.08869981765747,80.6534161567688,64.43442988395691,84.03664112091064,155.2796869277954,
prefix,4096,4109,512,520,4,128,2,1.328298807144165,1.289267897605896,True,12288,4,0,ok,,18632.0,18624.0,74540.0,18624.0,1608.0,0.0,0.0,0.0,92.00002694129944,92.06976318359375,80.69194221496582,71.31104969978333,84.03694438934326,155.03360748291016,
prefix,4096,4109,512,520,8,128,0,1.5324881076812744,1.4772098362445831,True,28672,8,0,ok,,37264.0,37248.0,149080.0,37248.0,3216.0,0.0,0.0,0.0,184.000346660614,184.25819444656372,161.89354968070984,129.23832607269287,168.07790207862854,313.5076560974121,
